id,Density
mp-1,1.9350390306525629
mp-10,6.064409536915891
mp-100,13.343942293271844
mp-1000,4.937886195039478
mp-10000,11.035293578624938
mp-10006,7.781764325671806
mp-10008,2.0125470095934275
mp-10009,4.8047225174667245
mp-1001,4.760885188432094
mp-10010,5.387585789899458
mp-1001023,1.8784797934185624
mp-1001113,3.0370937819433053
mp-1001117,6.749238393276186
mp-10013,3.5961866036389187
mp-10014,6.161496177825025
mp-10015,13.988540657606537
mp-1001571,4.231856237217894
mp-1001581,2.1639646240604624
mp-1001603,9.207403443008785
mp-1001604,7.227154255738362
mp-1001605,9.126196062741478
mp-1001606,9.120135150318614
mp-1001611,7.832622536873429
mp-1001612,8.337415518390268
mp-1001613,9.024010319405171
mp-1001614,9.40361056124068
mp-1001615,5.2354544146243445
mp-1001780,6.400668442249266
mp-1001783,3.992396688103709
mp-1001784,3.0667979065450983
mp-1001785,6.911476750069492
mp-1001786,2.6870836128017235
mp-1001787,9.544126209060334
mp-1001788,3.876498042977305
mp-1001789,13.624501479679608
mp-1001790,2.130136214552076
mp-1001824,15.851367020381009
mp-1001825,1.1879931080737938
mp-1001826,4.931553984051704
mp-1001827,15.743475237164242
mp-1001828,12.870113236711584
mp-1001831,2.0988324679780304
mp-1001833,6.666039206900408
mp-1001834,14.311758759775891
mp-1001835,1.356921363983624
mp-1001836,7.715923678793903
mp-1001837,5.263758469741812
mp-1001843,7.900108311890309
mp-1001844,11.224221655958418
mp-1001913,10.604921560654413
mp-1001914,9.353156219751366
mp-1001916,10.803945139832765
mp-1001917,8.820975639544885
mp-1001918,13.020768970250511
mp-1001925,6.359075908527065
mp-10020,3.6778435467959465
mp-1002063,3.391010521111248
mp-1002069,3.068616865164843
mp-1002080,3.079568077018941
mp-1002081,2.6866134979370737
mp-1002083,2.9679997426572577
mp-10021,6.09233722507633
mp-1002104,10.867371681882188
mp-1002105,6.518756638027997
mp-1002106,12.838043445743615
mp-1002107,8.373506722606786
mp-1002109,7.516367747422577
mp-1002114,5.632061498970682
mp-1002115,7.850839881397315
mp-1002117,9.650896724670822
mp-1002122,17.3655775067149
mp-1002123,3.525033652208396
mp-1002124,9.868235893097628
mp-1002133,6.140433114977302
mp-1002136,9.89027956504338
mp-1002164,5.760897100254253
mp-1002165,6.6598349844211695
mp-1002181,7.689350803147866
mp-1002182,9.196587086618653
mp-1002183,8.847273823092936
mp-1002184,6.811342677502316
mp-1002187,8.454788431007788
mp-1002188,8.537337390037479
mp-1002197,9.300248470398586
mp-1002206,4.00850930803314
mp-1002207,16.628529030215674
mp-1002209,13.46755676825555
mp-1002210,6.796356018121449
mp-1002219,6.913922677693916
mp-1002220,9.105513271279992
mp-1002221,9.666433691803029
mp-1002222,11.980821812552252
mp-1002223,7.675357748842684
mp-1002224,8.109490980444352
mp-1002226,9.008606059998552
mp-1002227,3.1392848631566546
mp-1002228,15.399142381539908
mp-1002229,11.557367516311183
mp-10023,6.122678571967442
mp-10024,8.643456071208345
mp-1002569,4.273260523084813
mp-1002571,3.760664165041289
mp-1002573,3.7892581824085902
mp-10026,5.551644538317359
mp-10027,5.924945168521415
mp-10030,9.378281415452644
mp-10032,11.527028501555485
mp-10033,4.019532989371366
mp-1003311,3.901728309336249
mp-1003314,3.546997493970072
mp-10036,6.346866213799777
mp-10037,6.9444222571555
mp-10038,6.020002827954106
mp-10039,5.654872105865764
mp-1004,7.479896923636696
mp-10040,14.140688509233518
mp-10041,5.518039521550573
mp-1004377,6.145907699637827
mp-10044,5.087631340714321
mp-1004524,4.016735818865265
mp-1004526,11.0565156938623
mp-1004530,4.29204655446947
mp-10046,6.552641495935085
mp-10048,5.9634762952565685
mp-10049,8.578122906979113
mp-1005,6.371739444433107
mp-10051,6.433465099350791
