,Density
0,1.890482796445982
1,4.918548867653828
2,13.245625329043511
3,5.309232150555809
4,11.035293578624938
5,7.781764325671806
6,2.0125470095934275
7,4.8047225174667245
8,4.760885188432094
9,5.387585789899458
10,1.8784797934185624
11,2.7108362362911396
12,6.617151040723071
13,3.609535481161893
14,5.442386111097506
15,13.574516271800249
16,4.231856237217894
17,2.1639646240604624
18,9.207403443008785
19,7.227154255738362
20,8.782069511828661
21,9.120135150318614
22,7.832622536873429
23,8.337415518390268
24,9.024010319405171
25,9.40361056124068
26,5.2354544146243445
27,6.400668442249266
28,3.9604273895367745
29,3.079245705570207
30,6.465834049557736
31,2.6870836128017235
32,9.556411576806843
33,3.876498042977305
34,15.47144164299982
35,2.130136214552076
36,15.47144164299982
37,1.1902253840423693
38,6.0281523010494835
39,15.47144164299982
40,14.818341059391724
41,1.2034882576377466
42,8.048770750385536
43,13.111859770216588
44,1.2034882576377466
45,7.70210371375776
46,6.465834049557736
47,7.5759052134992615
48,10.728472108892413
49,10.248368050088754
50,9.016052182704517
51,13.111859770216588
52,8.49358746631141
53,12.00553078963448
54,6.359075908527065
55,3.412990922970758
56,3.634043828365664
57,3.068616865164843
58,3.079568077018941
59,2.6866134979370737
60,2.9679997426572577
61,5.942256542526107
62,10.867371681882188
63,6.0281523010494835
64,12.73396180308374
65,8.373506722606786
66,7.516367747422577
67,5.5127027094809895
68,7.850839881397315
69,8.842068677543896
70,17.335720417264135
71,3.525033652208396
72,12.00553078963448
73,6.140433114977302
74,9.923919278214825
75,6.068240366136171
76,6.068240366136171
77,8.842068677543896
78,8.842068677543896
79,7.11882887125123
80,7.11882887125123
81,7.11882887125123
82,7.11882887125123
83,9.049002136312755
84,3.380252619616174
85,15.464917021165585
86,15.464917021165585
87,5.575472318392855
88,8.019837249082997
89,8.729409899990216
90,9.465777589507868
91,10.81687177835235
92,7.365207237462858
93,7.7766555797429024
94,8.680816801638949
95,2.683988669561172
96,14.680529298670137
97,11.061598087744738
98,6.186809623704272
99,8.76916539852395
100,4.273260523084813
101,3.760664165041289
102,3.7892581824085902
103,5.5955933469543275
104,5.571865459317392
105,8.86600441536293
106,11.527028501555485
107,3.3517972165871885
108,3.901728309336249
109,3.546997493970072
110,6.346866213799777
111,6.9444222571555
112,6.997189742234664
113,5.654872105865764
114,7.388203131539509
115,14.140688509233518
116,6.364465588456107
117,6.145907699637827
118,5.092394498568263
119,4.016735818865265
120,11.0565156938623
121,4.29204655446947
122,6.552641495935085
123,5.661939380818934
124,8.87743596017269
125,6.371739444433107
126,6.433465099350791
127,5.767482401884275
128,6.67583498151458
129,7.367120828323568
130,9.110846960938252
131,7.809495657446249
132,14.420421983770142
133,7.726055547015237
134,9.565517657083806
135,9.682528041209444
136,7.492016773361367
137,7.709830135820116
138,10.14836517403976
139,6.936590271902152
140,10.639604836025336
141,9.610036049303664
142,10.352814333897127
143,2.156368599879931
144,13.67960152375572
145,6.423778437472172
146,9.941642113550756
147,7.484030807762334
148,9.254918568824287
149,9.253685640223392
150,5.43626545738967
151,9.337405129700617
152,8.469602044740816
153,5.291066656469055
154,7.281738476849674
155,2.621913486060546
156,7.687445708476535
157,3.2856043053726403
158,5.196046366658433
159,8.596061032246752
160,6.431525910926541
161,8.96455804172201
162,9.650412726949224
163,3.629265911696611
164,5.439729092349303
165,6.431525910926541
166,3.0284297870036307
167,4.677634736845011
168,8.242291312429895
169,4.305992283547147
170,4.609769702579187
171,1.393336406511905
172,5.756641745551413
173,12.748883903567233
174,12.916160318660596
175,15.284145690946483
176,6.554972646703123
177,7.401355495811659
178,10.809846213862246
179,6.848068095006081
180,12.825456138780918
181,6.344721473393431
182,19.31535526474226
183,16.594449333823512
184,12.73396180308374
185,19.828762867743084
186,6.244845756500443
187,14.766769500603617
188,10.319726054329603
189,5.6433116182248115
190,17.105836889719654
191,7.211345388879406
192,6.82365188300355
193,10.81687177835235
194,17.335720417264135
195,7.218788641376215
196,14.853115276756537
197,8.887332367973775
198,5.269414177336419
199,5.737545885689083
200,8.844273716952014
201,8.171037396856452
202,8.691810187296277
203,8.691810187296277
204,5.942256542526107
205,8.171037396856452
206,6.90900418762391
207,8.64431990825617
208,6.254658385118582
209,9.465777589507868
210,7.440629391241758
211,7.317320751453447
212,4.025435216379495
213,12.578653317454386
214,5.746954606580512
