id,energy_above_hull,crystal_system,point_group
mp-1184862,0.146044598,Cubic,m-3m
mp-1184863,1.166258873,Cubic,m-3m
mp-1184865,0.01067934,Monoclinic,2/m
mp-1184866,0.048335619,Cubic,m-3m
mp-1184868,1.180994878,Cubic,m-3m
mp-1184871,0.580123393,Cubic,m-3m
mp-1184872,0.006509792,Cubic,m-3m
mp-1184870,0.007982018,Cubic,m-3m
mp-1184869,0.00462591,Cubic,m-3m
mp-1184878,0.338926753,Cubic,m-3m
mp-1184874,0.67722455,Cubic,m-3m
mp-1184875,0.72291535,Cubic,m-3m
mp-1184873,0.662161788,Tetragonal,4/mmm
mp-1184877,0.158005655,Cubic,m-3m
mp-1184867,0.006063565,Tetragonal,4/mmm
mp-1184879,0,Cubic,m-3m
mp-1184881,0.009815662,Cubic,m-3m
mp-1184880,1.127375558,Cubic,m-3m
mp-1184876,0.113304854,Cubic,m-3m
mp-1184882,0.307602825,Hexagonal,6/mmm
mp-1184883,0.151910194,Cubic,m-3m
mp-1184864,0.114937328,Tetragonal,4/mmm
mp-1184885,0.089930395,Cubic,m-3m
mp-1184892,0.221909311,Cubic,m-3m
mp-1184894,0.033277931,Cubic,m-3m
mp-1184886,0.650281313,Cubic,m-3m
mp-1184897,1.13891031,Cubic,m-3m
mp-1184895,0.587248503,Cubic,m-3m
mp-1184891,0,Cubic,m-3m
mp-1184898,0.225179394,Cubic,m-3m
mp-1184888,0.011737165,Tetragonal,4/mmm
mp-1184903,0.545869413,Cubic,m-3m
mp-1184901,0.659940721,Tetragonal,4/mmm
mp-1184884,0.595461,Hexagonal,6/mmm
mp-1184893,0.027889811,Tetragonal,4/mmm
mp-1184887,0.12905829,Hexagonal,6/mmm
mp-1184896,1.346526302,Tetragonal,4/mmm
mp-1184899,0.007357164,Tetragonal,4/mmm
mp-1184900,0.588596825,Hexagonal,6/mmm
mp-1184915,0.14130396,Tetragonal,4/mmm
mp-1184917,0.200208971,Hexagonal,6/mmm
mp-1184918,0.122503889,Cubic,m-3m
mp-1184904,0.053548608,Hexagonal,6/mmm
mp-1184907,0.065348288,Tetragonal,4/mmm
mp-1184906,0.58371357,Cubic,m-3m
mp-1184902,0.581855561,Hexagonal,-6m2
