id,energy_above_hull,crystal_system,point_group
mp-1185390,0.008997625,Cubic,m-3m
mp-1185388,0.287546244,Cubic,m-3m
mp-1185389,0.060474459,Cubic,m-3m
mp-1185385,0,Orthorhombic,mmm
mp-1185379,0.019682004,Cubic,m-3m
mp-1185391,0.005469175,Cubic,m-3m
mp-1185392,0,Cubic,m-3m
mp-1185393,0.018546793,Cubic,m-3m
mp-1185394,0,Cubic,m-3m
mp-1185395,0.155674056,Cubic,m-3m
mp-1185397,0.012265358,Cubic,m-3m
mp-1185404,0.235092001,Cubic,m-3m
mp-1185398,0.006430285,Cubic,m-3m
mp-1185402,0.376647249,Cubic,m-3m
mp-1185400,0.07066697,Cubic,m-3m
mp-1185396,0.033435917,Hexagonal,-6m2
mp-1185399,0,Cubic,m-3m
mp-1185403,0.001032139,Cubic,m-3m
mp-1185405,0.121668332,Cubic,m-3m
mp-1185401,0.353630917,Cubic,m-3m
mp-1185408,0.006076949,Cubic,m-3m
mp-1185406,0.141714648,Cubic,m-3m
mp-1185413,0.015699384,Cubic,m-3m
mp-1185411,0.122839238,Cubic,m-3m
mp-1185410,0.206927668,Tetragonal,4/mmm
mp-1185409,0,Cubic,m-3m
mp-1185407,0.015880672,Cubic,m-3m
mp-1185418,0,Cubic,m-3m
mp-1185414,0.32106005,Cubic,m-3m
