Composition,Density
Al1 As1 Pt5,15.952895609184614
Al1 Au1,10.542352100081162
Al1 Au1 O2,9.213030030164534
Al1 Au1 O3,8.486096191787198
Al1 Au2,13.713129878032277
Al1 Au3,14.701260298335596
Al1 Au4,14.968187302681958
Al1 B1 Mo1,6.301295930275863
Al1 B1 N2,3.329718034442567
Al1 B1 W1,10.439683293049994
Al1 B2,3.14766621242468
Al1 B2 Pb1,6.498010018949916
Al1 B3 N4,3.382682590395833
Al1 Bi1,5.843468147794531
Al1 Bi1 O3,6.037051899615939
Al1 Bi3,9.301753133620576
Al1 C3,3.169636157458004
Al1 C3 N3,1.223134658578643
Al1 C6,1.073068345783191
Al1 Cd1 Cu3 Se4,5.311502273762277
Al1 Cd1 In1 S4,3.803964728868889
Al1 Cd1 Rh2,0.6734150877811782
Al1 Cd1 Sb1 Te1,4.888002666771517
Al1 Cd3,7.035827706738082
Al1 Cl1 O1,2.6422782127521254
Al1 Cl3,2.215248954324524
Al1 Co1,6.13676897511371
Al1 Co1 F5,3.550746334370992
Al1 Co1 N2,4.571657627377595
Al1 Co1 Ni6,8.287713674717164
Al1 Co1 O3,4.409719414937844
Al1 Co2 Ni1,7.436709386935059
Al1 Co2 Si1,5.201701173792208
Al1 Co2 Si2,5.387585789899458
Al1 Co3,7.406343710362048
Al1 Co3 C1,6.9444222571555
Al1 Co4,7.594940255047482
Al1 Cr1 Co2,7.024895043304369
Al1 Cr1 Cu2,6.546075704436335
Al1 Cr1 F5,3.2818917917759687
Al1 Cr1 Fe2,6.501543606442883
Al1 Cr1 Ge1,5.97556550535159
Al1 Cr1 N2,4.026321743322255
Al1 Cr1 Ni1,5.977395344157928
Al1 Cr1 Ni2,6.7281864265891125
Al1 Cr1 O3,3.863934818304003
Al1 Cr1 O4,4.099564997157099
Al1 Cr1 Os2,1.0973582777897368
Al1 Cr1 Ru2,8.726919397245743
Al1 Cr1 Tc2,0.6324101270288445
Al1 Cr2,5.73337323553684
Al1 Cr2 B2,5.327369201739659
Al1 Cr2 C1,5.338343764116955
Al1 Cr2 W1,0.6432877110648323
Al1 Cr3 B4,5.374775033486165
Al1 Cr3 Si1 Mo3,7.61246737496055
Al1 Cr4 Ga1 C2,6.131138957374102
Al1 Cr6 Si1,6.432723566648577
Al1 Cu1,5.581466500966712
Al1 Cu1 Au2,12.907325380401526
Al1 Cu1 F5,3.712872243639576
Al1 Cu1 Ge1 Se4,4.73835074893937
Al1 Cu1 Ni2,0.6319354737681268
Al1 Cu1 Ni6,8.2591994271699
Al1 Cu1 O2,4.9640654375219855
Al1 Cu1 O3,4.544378009211107
Al1 Cu1 Pd2,9.014918994937128
Al1 Cu1 Pt2,14.13017049848768
Al1 Cu1 Rh2,0.736774011332873
Al1 Cu1 S2,3.435993537364091
Al1 Cu1 Se1 S1,4.099794373196334
Al1 Cu1 Se2,4.651354686358684
Al1 Cu1 Sn1 Se4,4.801565692513809
Al1 Cu1 Te2,5.129281725429765
Al1 Cu3,7.266883810067712
Al1 Cu3 Hg1 Se4,5.947525255485975
Al1 Cu3 N3,6.394563970798972
Al1 Cu3 Pb1 Se4,5.5875581243675
Al1 F3,2.7132280261986943
Al1 Fe1,4.614313908264683
Al1 Fe1 Co2,7.183512825615721
Al1 Fe1 F5,3.4209925357098374
Al1 Fe1 Ir2,1.164526869932728
Al1 Fe1 N2,4.494652560404869
Al1 Fe1 O3,3.955828732210649
