id,energy_above_hull,crystal_system,point_group
mp-865577,0.0,Cubic,m-3m
mp-865580,0.0,Cubic,m-3m
mp-865581,0.0,Cubic,m-3m
mp-865585,0.0,Cubic,m-3m
mp-865583,0.006856918,Orthorhombic,mmm
mp-865582,0.0,Cubic,m-3m
mp-865572,0.0,Cubic,m-3m
mp-865587,0.010462958,Cubic,m-3m
mp-865590,0.0,Cubic,m-3m
mp-865589,0.0,Cubic,m-3m
mp-865592,0.0,Cubic,m-3m
mp-865594,0.014566758,Cubic,m-3m
mp-865591,0.0,Cubic,m-3m
mp-865588,0.0,Cubic,m-3m
mp-865586,0.0,Hexagonal,6/mmm
mp-865595,0.0,Cubic,m-3m
mp-865603,0.0,Cubic,m-3m
mp-865597,0.0,Hexagonal,6/mmm
mp-865596,0.003059857,Cubic,m-3m
mp-865600,0.0,Hexagonal,-6m2
mp-865599,0.0,Cubic,m-3m
mp-865601,0.0,Cubic,m-3m
mp-865602,0.0,Cubic,m-3m
mp-865607,0.0,Cubic,m-3m
mp-865622,0.0,Cubic,m-3m
mp-865609,0.0,Cubic,m-3m
mp-865611,0.0,Tetragonal,4/mmm
mp-865615,0.0,Cubic,m-3m
mp-865623,0.0,Cubic,m-3m
mp-865616,0.0,Cubic,m-3m
mp-865624,0.0,Cubic,m-3m
mp-865630,0.0,Cubic,m-3m
mp-865649,0.0,Hexagonal,6/mmm
mp-865625,0.0,Cubic,m-3m
mp-865641,0.016107025,Cubic,m-3m
mp-865640,0.0,Cubic,m-3m
mp-865631,0.0,Monoclinic,2/m
mp-865650,0.0,Cubic,m-3m
mp-865648,0.0,Cubic,m-3m
mp-865653,0.0,Cubic,m-3m
mp-865652,0.0,Cubic,m-3m
mp-865651,0.0,Cubic,m-3m
mp-865654,0.0,Cubic,m-3m
mp-865661,0.0,Cubic,m-3m
mp-865655,0.0,Cubic,m-3m
mp-865660,0.0,Cubic,m-3m
mp-865659,0.016318814,Cubic,m-3m
mp-865663,0.0,Cubic,m-3m
mp-865656,0.0,Cubic,m-3m
mp-865662,0.0,Cubic,m-3m
mp-865664,0.0,Cubic,m-3m
mp-865666,0.001290913,Cubic,m-3m
mp-865669,0.0,Cubic,m-3m
mp-865665,0.0,Cubic,m-3m
mp-865671,0.0,Cubic,m-3m
mp-865681,0.0,Cubic,m-3m
mp-865680,0.0,Cubic,m-3m
mp-865678,0.0,Cubic,m-3m
mp-865679,0.0,Cubic,m-3m
mp-865708,0.000284655,Cubic,m-3m
mp-865696,0.0,Cubic,m-3m
mp-865710,0.0,Hexagonal,6/mmm
mp-865709,0.0,Cubic,m-3m
mp-865711,0.0,Cubic,m-3m
mp-865714,0.0,Cubic,m-3m
mp-865707,0.0,Cubic,m-3m
mp-865713,0.0,Cubic,m-3m
mp-865712,0.0,Cubic,m-3m
mp-865715,0.0,Cubic,m-3m
mp-865716,0.0,Tetragonal,4/mmm
mp-865717,0.0,Cubic,m-3m
mp-865735,0.004295092,Cubic,m-3m
mp-865731,0.0,Hexagonal,6/mmm
mp-865728,0.0,Cubic,m-3m
mp-865729,0.047639151,Cubic,m-3m
mp-865730,0.0,Cubic,m-3m
mp-865732,0.0,Cubic,m-3m
mp-865733,0.0,Cubic,m-3m
mp-865736,0.0,Cubic,m-3m
mp-865739,0.0,Hexagonal,6/mmm
mp-865737,0.0,Cubic,m-3m
mp-865742,0.0,Cubic,m-3m
mp-865738,0.0,Cubic,m-3m
mp-865740,0.0,Cubic,m-3m
mp-865748,0.04459756,Cubic,m-3m
mp-865746,0.0,Cubic,m-3m
mp-865744,0.0,Cubic,m-3m
mp-865743,0.0,Cubic,m-3m
mp-865751,0.0,Cubic,m-3m
mp-865753,0.0,Cubic,m-3m
mp-865749,0.0,Cubic,m-3m
mp-865757,0.0,Cubic,m-3m
mp-865759,0.0,Cubic,m-3m
mp-865758,0.0,Cubic,m-3m
mp-865752,0.044256162,Cubic,m-3m
mp-865755,0.0,Cubic,m-3m
mp-865756,0.010595019,Cubic,m-3m
mp-865766,0.0,Cubic,m-3m
mp-865764,0.0,Cubic,m-3m
mp-865774,0.0,Cubic,m-3m
mp-865771,0.0,Cubic,m-3m
mp-865779,0.004090617,Cubic,m-3m
mp-865745,0.0,Cubic,m-3m
mp-865780,0.033135551,Cubic,m-3m
mp-865781,0.004104001,Cubic,m-3m
mp-865785,0.0,Cubic,m-3m
mp-865786,0.0,Cubic,m-3m
mp-865787,0.0,Cubic,m-3m
mp-865789,0.0,Cubic,m-3m
mp-865790,0.0,Cubic,m-3m
mp-865792,0.0,Cubic,m-3m
mp-865791,0.0,Cubic,m-3m
mp-865794,0.0,Cubic,m-3m
mp-865793,0.0,Cubic,m-3m
mp-865795,0.0,Cubic,m-3m
mp-865796,0.0,Cubic,m-3m
mp-865797,0.021262127,Cubic,m-3m
mp-8658,0.0,Tetragonal,4/mmm
mp-865799,0.0,Hexagonal,6/mmm
mp-865803,0.0,Cubic,m-3m
mp-865804,0.0,Cubic,m-3m
mp-865802,0.0,Cubic,m-3m
mp-865768,0.0,Cubic,m-3m
mp-865800,0.0,Cubic,m-3m
mp-865805,0.0,Cubic,m-3m
mp-865783,0.0,Cubic,m-3m
mp-865809,0.0,Cubic,m-3m
mp-865806,0.032380654,Cubic,m-3m
mp-865811,0.0,Cubic,m-3m
mp-865807,0.0,Cubic,m-3m
mp-865810,0.0,Cubic,m-3m
mp-865808,0.022999047,Cubic,m-3m
mp-865812,0.0,Cubic,m-3m
mp-865813,0.0,Cubic,m-3m
mp-865815,0.0,Cubic,m-3m
mp-865814,0.0,Cubic,m-3m
mp-865816,0.0,Cubic,m-3m
mp-865829,0.0,Cubic,m-3m
mp-865830,0.0,Cubic,m-3m
mp-865838,0.0,Cubic,m-3m
mp-865833,0.0,Cubic,m-3m
mp-865843,0.0,Cubic,m-3m
mp-865846,0.0,Cubic,m-3m
mp-865845,0.0,Cubic,m-3m
mp-865840,0.0,Cubic,m-3m
mp-865842,0.0,Cubic,m-3m
mp-865847,0.0,Cubic,m-3m
mp-865857,0.0,Cubic,m-3m
mp-865849,0.0,Cubic,m-3m
mp-865848,0.0,Cubic,m-3m
mp-865854,0.0,Cubic,m-3m
mp-865859,0.0,Cubic,m-3m
mp-865860,0.00042583,Cubic,m-3m
mp-865866,0.0,Cubic,m-3m
mp-865861,0.0,Cubic,m-3m
mp-865867,0.0,Cubic,m-3m
mp-865869,0.0,Cubic,m-3m
mp-865870,0.0,Cubic,m-3m
mp-865868,0.0,Cubic,m-3m
mp-865872,0.011782069,Cubic,m-3m
mp-865863,0.0,Cubic,m-3m
mp-865862,0.004558905,Cubic,m-3m
mp-865871,0.0,Cubic,m-3m
mp-865874,0.0,Cubic,m-3m
mp-865875,0.0,Cubic,m-3m
mp-865873,0.0,Cubic,m-3m
mp-865876,0.0,Cubic,m-3m
mp-865879,0.0,Cubic,m-3m
mp-865883,0.0,Cubic,m-3m
mp-865878,0.0,Cubic,m-3m
mp-865884,0.0,Cubic,m-3m
mp-865887,0.0,Cubic,m-3m
mp-865885,0.0,Cubic,m-3m
mp-865890,0.0,Cubic,m-3m
mp-865888,0.0,Cubic,m-3m
mp-865898,0.0,Cubic,m-3m
mp-865894,0.0,Cubic,m-3m
mp-865896,0.0,Cubic,m-3m
mp-865893,0.0,Cubic,m-3m
mp-865892,0.0,Cubic,m-3m
mp-865895,0.0,Cubic,m-3m
mp-865901,0.0,Cubic,m-3m
mp-865899,0.011282143,Cubic,m-3m
mp-865900,0.007064644,Cubic,m-3m
mp-865903,0.0,Cubic,m-3m
mp-865905,0.0,Cubic,m-3m
mp-865908,0.0,Cubic,m-3m
mp-865906,0.0,Cubic,m-3m
mp-865882,0.0,Cubic,m-3m
mp-865909,0.0,Cubic,m-3m
mp-865912,0.0,Tetragonal,4/mmm
mp-865911,0.0,Cubic,m-3m
mp-865916,0.0,Cubic,m-3m
mp-865914,0.0,Cubic,m-3m
mp-865904,0.0,Cubic,m-3m
mp-865918,0.0,Hexagonal,6/mmm
mp-865919,0.0,Cubic,m-3m
mp-865928,0.0,Cubic,m-3m
mp-865920,0.0,Cubic,m-3m
mp-865925,0.0,Cubic,m-3m
mp-865924,0.0,Cubic,m-3m
mp-865926,0.0,Cubic,m-3m
mp-865921,0.0,Cubic,m-3m
mp-865929,0.0,Cubic,m-3m
mp-865930,0.0,Cubic,m-3m
mp-865936,0.0,Cubic,m-3m
mp-865934,0.0,Cubic,m-3m
mp-865945,0.042424084,Tetragonal,4/mmm
mp-865933,0.0,Tetragonal,4/mmm
mp-865947,0.0,Cubic,m-3m
mp-865948,0.0,Cubic,m-3m
mp-865955,0.0,Cubic,m-3m
mp-865931,0.0,Cubic,m-3m
mp-865959,0.0,Cubic,m-3m
mp-865964,0.0,Hexagonal,6/mmm
mp-865965,0.0,Cubic,m-3m
mp-865960,0.0,Cubic,m-3m
mp-865954,0.011670419,Cubic,m-3m
mp-865963,0.0,Cubic,m-3m
mp-865966,0.0,Cubic,m-3m
mp-865974,0.023650424,Cubic,m-3m
mp-865978,0.0,Cubic,m-3m
mp-865982,0.0,Cubic,m-3m
mp-865977,0.0,Cubic,m-3m
mp-865983,0.0,Cubic,m-3m
mp-865981,0.0,Cubic,m-3m
mp-865988,0.0,Tetragonal,4/mmm
mp-865986,0.002027527,Cubic,m-3m
mp-865984,0.0,Cubic,m-3m
mp-865987,0.0,Cubic,m-3m
mp-865985,0.0,Cubic,m-3m
mp-865991,0.0,Cubic,m-3m
mp-865995,0.0,Cubic,m-3m
mp-865989,0.0,Cubic,m-3m
mp-865994,0.0,Cubic,m-3m
mp-865993,0.0,Cubic,m-3m
mp-865996,0.002361124,Cubic,m-3m
mp-865992,0.0,Cubic,m-3m
mp-866001,0.0,Cubic,m-3m
mp-866002,0.0,Cubic,m-3m
mp-866004,0.0,Cubic,m-3m
mp-866003,0.0,Hexagonal,6/mmm
mp-866000,0.0,Cubic,m-3m
mp-865998,0.012137372,Cubic,m-3m
mp-865997,0.0,Cubic,m-3m
mp-866006,0.023240059,Cubic,m-3m
mp-866009,0.001464474,Cubic,m-3m
mp-866010,0.0,Cubic,m-3m
mp-866007,0.03898054,Cubic,m-3m
mp-866005,0.0,Cubic,m-3m
mp-866008,0.0,Cubic,m-3m
mp-866012,0.0,Cubic,m-3m
mp-866013,0.002306943,Cubic,m-3m
mp-866014,0.0,Cubic,m-3m
mp-866017,0.004102214,Cubic,m-3m
mp-866019,0.0,Cubic,m-3m
mp-866015,0.0,Cubic,m-3m
mp-865999,0.0,Cubic,m-3m
mp-866020,0.0,Cubic,m-3m
mp-866021,0.014610548,Cubic,m-3m
mp-866024,0.0,Cubic,m-3m
mp-866027,0.0,Cubic,m-3m
mp-866034,0.032253944,Cubic,m-3m
mp-866029,0.0,Cubic,m-3m
mp-866031,0.0,Cubic,m-3m
mp-866033,0.0,Cubic,m-3m
mp-866037,0.0,Hexagonal,6/mmm
mp-866040,0.0,Cubic,m-3m
mp-866038,0.0,Cubic,m-3m
mp-866041,0.0,Cubic,m-3m
mp-866045,0.0466273,Cubic,m-3m
mp-866046,0.0,Cubic,m-3m
mp-866047,0.0,Cubic,m-3m
mp-866051,0.009616994,Cubic,m-3m
mp-866058,0.0,Cubic,m-3m
mp-866052,0.0,Cubic,m-3m
mp-866065,0.0,Cubic,m-3m
mp-866061,0.0,Cubic,m-3m
mp-866068,0.0,Cubic,m-3m
mp-866062,0.0,Cubic,m-3m
mp-866064,0.0,Cubic,m-3m
mp-866063,0.0,Cubic,m-3m
mp-866072,0.0,Cubic,m-3m
mp-866077,0.0,Cubic,m-3m
mp-866074,0.0,Cubic,m-3m
mp-866073,0.0,Cubic,m-3m
mp-866085,0.0,Cubic,m-3m
mp-866086,0.0,Cubic,m-3m
mp-866060,0.0,Cubic,m-3m
mp-866080,0.0,Cubic,m-3m
mp-866081,0.006196117,Cubic,m-3m
mp-866059,0.0,Hexagonal,6/mmm
mp-866067,0.0,Cubic,m-3m
mp-866075,0.0,Cubic,m-3m
mp-866071,0.0,Cubic,m-3m
mp-866082,0.017466984,Cubic,m-3m
mp-866087,0.0,Cubic,m-3m
mp-866069,0.0,Cubic,m-3m
mp-866088,0.0,Cubic,m-3m
mp-866094,0.0,Cubic,m-3m
mp-866076,0.027958192,Cubic,m-3m
